user,docid,page,corrupted,tableType,location,number,content,qualifiers
auto,20136164,1,false,na,Col,2,measures;time/period,
auto,20136164,1,false,na,Row,1,arms,
auto,20136164,1,false,na,Row,6,characteristic_level,
auto,20151997,2,false,na,Col,1,measures,
auto,20151997,2,false,na,Col,1,characteristic_level,empty_row
auto,20151997,2,false,na,Row,1,characteristic_level,
auto,20163842,2,false,na,Row,1,arms,
auto,20163842,2,false,na,Row,2,characteristic_level,
auto,20185426,1,false,na,Col,1,characteristic_level;characteristic_name,
auto,20185426,1,false,na,Col,1,characteristic_level;measures,bold;
auto,20185426,1,false,na,Col,1,characteristic_level,bold;empty_row
auto,20185426,1,false,na,Row,2,arms;measures,
auto,20200926,2,false,na,Col,1,characteristic_level,
auto,20200926,2,false,na,Row,1,measures,
auto,20200926,2,false,na,Row,2,measures,
auto,20228403,2,false,na,Col,2,characteristic_level,
auto,20228403,2,false,na,Row,1,arms;measures,
auto,20357382,1,false,na,Col,1,characteristic_level;characteristic_name,
auto,20357382,1,false,na,Col,1,characteristic_level,empty_row
auto,20357382,1,false,na,Col,1,characteristic_level,indent;
auto,20357382,1,false,na,Row,1,arms,
auto,20357382,2,false,na,Col,1,characteristic_level,bold;empty_row
auto,20357382,2,false,na,Col,1,arms;p-interaction,indent;bold;empty_row_with_p_value
auto,20357382,2,false,na,Row,2,characteristic_level,
auto,20393175,2,false,na,Col,1,characteristic_name;characteristic_level,
auto,20393175,2,false,na,Col,1,characteristic_level,bold;empty_row
auto,20393175,2,false,na,Row,3,measures,
auto,20393175,4,false,na,Col,1,characteristic_name;characteristic_level,
auto,20393175,4,false,na,Row,2,characteristic_level,
auto,20393175,4,false,na,Row,3,measures,
auto,20400762,1,false,na,Col,2,measures,indent;bold
auto,20400762,1,false,na,Col,1,characteristic_name,italic;empty_row_with_p_value
auto,20400762,1,false,na,Row,1,measures,
auto,20409909,1,false,na,Col,1,characteristic_level;characteristic_name,
auto,20409909,1,false,na,Col,1,characteristic_level,empty_row
auto,20409909,1,false,na,Col,1,characteristic_level,indent;
auto,20409909,1,false,na,Row,1,arms,
auto,20436046,2,false,na,Col,1,characteristic_level,empty_row
auto,20436046,2,false,na,Col,1,characteristic_level;measures,indent;
auto,20436046,2,false,na,Row,1,measures,
auto,20463178,1,false,na,Col,1,characteristic_name;characteristic_level,
auto,20463178,1,false,na,Row,1,arms,
auto,20484828,1,false,na,Col,1,characteristic_level,
auto,20484828,1,false,na,Col,2,measures,
auto,20484828,1,false,na,Row,1,characteristic_level;measures,
auto,20484828,2,false,na,Col,2,measures,
auto,20484828,2,false,na,Row,1,characteristic_level;measures,
auto,20487050,2,false,na,Col,1,characteristic_level,indent;empty_row
auto,20487050,2,false,na,Col,1,characteristic_level,indent;
auto,20487050,2,false,na,Row,1,characteristic_name,
auto,20487050,2,false,na,Row,2,arms,
auto,20582594,2,false,na,Col,1,characteristic_level,empty_row_with_p_value
auto,20582594,2,false,na,Col,1,characteristic_level,indent;
auto,20582594,2,false,na,Row,1,measures,
auto,20582594,2,false,na,Row,2,arms,
auto,20582993,1,false,na,Col,1,characteristic_level;characteristic_name,
auto,20582993,1,false,na,Col,1,characteristic_level,empty_row_with_p_value
auto,20582993,1,false,na,Row,1,arms,
auto,20620037,1,false,na,Col,1,characteristic_level,
auto,20620037,1,false,na,Col,1,characteristic_level;characteristic_name,empty_row
auto,20620037,1,false,na,Col,1,characteristic_level;measures,indent;
auto,20620037,1,false,na,Row,1,arms,
auto,20620037,2,false,na,Col,1,characteristic_level,indent;empty_row
auto,20620037,2,false,na,Col,1,characteristic_level,indent;
auto,20620037,2,false,na,Row,1,characteristic_level,
auto,20620037,2,false,na,Row,2,arms,
auto,20621900,1,false,na,Col,1,characteristic_level,indent;
